place_id,name,address,phone,state,zip_code,dso,brand,latitude,longitude,scraped_at
ChIJj0HCLQrK2IcRjGKx50ZKPlM,Francis Park Dentistry,"6650 Chippewa St St. Louis, MO 63109",(314) 457-0613,Missouri,63109.0,Pacific Dental Services,,,,2024-01-15 00:07:53.052078
ChIJL_1XRb4y34cRQUM7Jc9QiFc,Creve Coeur Dentistry and Orthodontics,"11437 Olive Blvd Creve Coeur, MO 63141",(314) 355-2000,Missouri,63141.0,Pacific Dental Services,,,,2024-01-15 00:07:53.075417
ChIJpTpXtoLL2IcRwRoIZra0MC4,Rock Hill Dentistry,"9601 Manchester Rd St. Louis, MO 63119",(314) 274-6319,Missouri,63119.0,Pacific Dental Services,,,,2024-01-15 00:07:53.097633
ChIJ388jp8w034cRkN8NGeTvFhc,Ladue Dental Group,"8859 Ladue Rd Ladue, MO 63124",(314) 983-8011,Missouri,63124.0,Pacific Dental Services,,,,2024-01-15 00:07:53.125617
ChIJfxvjLRkv34cRq7BoAA4HTYk,Lindenwood Dentistry,"2048 1st Capitol Dr St. Charles, MO 63301",(636) 345-9245,Missouri,63301.0,Pacific Dental Services,,,,2024-01-15 00:07:53.145046
ChIJbSoog9fJt4kR91aH3gJ7WzU,Dentists of Silver Spring,"1286 E W Hwy Silver Spring, MD 20910",(301) 761-4489,Maryland,20910.0,Pacific Dental Services,,,,2024-01-15 00:07:56.416833
ChIJh9rEro-1t4kRvhqj5Q12Sc0,Falls Church Modern Dentistry,"1212 W Broad St Falls Church, VA 22046",(703) 519-6697,Virginia,22046.0,Pacific Dental Services,,,,2024-01-15 00:07:56.434901
ChIJkaZ3k8yzt4kR6jhRKZORoQ4,Foxchase Dental Group,"4607 Duke St Unit 19A Alexandria, VA 22304",(571) 899-5094,Virginia,22304.0,Pacific Dental Services,,,,2024-01-15 00:07:56.458715
ChIJ9yXg2V1LtokRp2IuxwZCpVA,Tysons Modern Dentistry,"8393 Leesburg Pike Vienna, VA 22182",(703) 745-1797,Virginia,22182.0,Pacific Dental Services,,,,2024-01-15 00:07:56.478588
ChIJGZKXTBuzt4kRGJmbNYpyHkk,Lake Barcroft Dental Group,"6464 A1 Lincolnia Rd Alexandria, VA 22312",(703) 876-6700,Virginia,22312.0,Pacific Dental Services,,,,2024-01-15 00:07:56.520994
ChIJv2fIuw-vt4kR1n9EY3dg9yg,Mount Vernon Modern Dentistry,"7696 Richmond Hwy Ste D Alexandria, VA 22306",(703) 214-1924,Virginia,22306.0,Pacific Dental Services,,,,2024-01-15 00:07:56.540459
ChIJ2REX8MM5tokRdUBwrm85gIs,Dentists of Sterling,"21435 Epicerie Plz Ste 190 Sterling, VA 20164",(703) 454-0560,Virginia,20164.0,Pacific Dental Services,,,,2024-01-15 00:07:56.631313
ChIJryTlXi5JtokRr4mmr0iF7nQ,Herndon Modern Dentistry,"2537 John Milton Dr Herndon, VA 20171",(703) 259-8477,Virginia,20171.0,Pacific Dental Services,,,,2024-01-15 00:07:56.657894
ChIJoXuF56M9tokRaqRGkJARVM4,Leesburg Modern Dentistry,"502 E Market St Leesburg, VA 20176",(571) 899-4713,Virginia,20176.0,Pacific Dental Services,,,,2024-01-15 00:07:56.713301
ChIJA4u35DdTtokRbwNKfC6No5I,Springfield Modern Dentistry,"8404 Old Keene Mill Rd Springfield, VA 22152",(571) 350-3556,Virginia,22152.0,Pacific Dental Services,,,,2024-01-15 00:07:56.801265
ChIJ5zA73BBPtokR5bxNR_5LX88,Fairfax Modern Dentistry,"11050 US-29 Fairfax, VA 22030",(703) 520-6376,Virginia,22030.0,Pacific Dental Services,,,,2024-01-15 00:07:56.852964
ChIJaVF4NidTtokRqqO_giAGweI,Springfield Dental Group,"8056 Rolling Rd Springfield, VA 22153",(571) 295-5683,Virginia,22153.0,Pacific Dental Services,,,,2024-01-15 00:07:56.876765
ChIJ2VcCVEkVkFQRQnMwbqMNYCI,Belltown Modern Dentistry,"2326 5th Ave Seattle, WA 98121",(206) 494-9050,Washington,98121.0,Pacific Dental Services,,,,2024-01-15 00:08:00.059030
ChIJVwN-ifprkFQRyXfgdUhwGCw,Capitol Hill Dental Group,"1732 Broadway Ste 101 Seattle, WA 98122",(206) 785-1327,Washington,98122.0,Pacific Dental Services,,,,2024-01-15 00:08:00.076781
ChIJo0DiE5lzkFQRg85crTsL9X8,Redmond Modern Dentistry,"17126 Redmond Way Redmond, WA 98052",(425) 224-8141,Washington,98052.0,Pacific Dental Services,,,,2024-01-15 00:08:00.099867
ChIJdXigW1dtkFQRmqvKB66yjOs,Bellevue Modern Dentistry,"2235 148th Ave NE Bellevue, WA 98007",(425) 458-3850,Nebraska,98007.0,Pacific Dental Services,,,,2024-01-15 00:08:00.119906
ChIJV2ZaJ8ZBkFQRbvKaedDbU8Q,Dentists of West Seattle,"4722 Fauntleroy Way SW Ste A Seattle, WA 98116",(206) 928-6242,Washington,98116.0,Pacific Dental Services,,,,2024-01-15 00:08:00.142466
ChIJvVCogO9xkFQReFdO447xxDM,Sammamish Smiles Dentistry,"22640 SE 4th St Ste 212 Sammamish, WA 98074",(425) 979-3168,Washington,98074.0,Pacific Dental Services,,,,2024-01-15 00:08:00.164267
ChIJZWtLBf1vkFQRihCwbBfj18U,Eastgate Modern Dentistry,"15100 SE 38th St Ste 302 Bellevue, WA 98006",(425) 300-1019,Washington,98006.0,Pacific Dental Services,,,,2024-01-15 00:08:00.181352
ChIJD5BBmhlokFQRlI2G1vx5zs4,Renton Modern Dentistry,"955 Park Ave N Ste D Renton, WA 98057",(425) 793-6003,Washington,98057.0,Pacific Dental Services,,,,2024-01-15 00:08:00.200943
ChIJgdA8q_JvkFQRtKCzmnnf7Wg,Issaquah Highlands Dental Group,"1416 Highlands Dr NE Ste 120 Issaquah, WA 98029",(425) 557-9000,Nebraska,98029.0,Pacific Dental Services,,,,2024-01-15 00:08:00.225043
